,H25_sex,delta_incident_rate,H25_age
578,1.0,-0.229,13
579,1.0,-0.228,2
580,1.0,-0.227,12
581,1.0,-0.226,5
582,1.0,-0.225,5
583,1.0,-0.224,6
584,1.0,-0.223,8
585,1.0,-0.222,8
586,1.0,-0.221,10
587,1.0,-0.22,6
588,1.0,-0.219,7
589,1.0,-0.218,9
590,1.0,-0.217,7
591,1.0,-0.216,7
592,1.0,-0.215,9
593,1.0,-0.214,9
594,1.0,-0.213,15
595,1.0,-0.212,6
596,1.0,-0.211,11
597,1.0,-0.21,6
598,1.0,-0.209,6
599,1.0,-0.208,2
600,1.0,-0.207,5
601,1.0,-0.206,8
602,1.0,-0.205,7
603,1.0,-0.204,4
604,1.0,-0.203,14
605,1.0,-0.202,9
606,1.0,-0.201,6
607,1.0,-0.2,7
608,1.0,-0.199,9
609,1.0,-0.198,7
610,1.0,-0.197,12
611,1.0,-0.196,9
612,1.0,-0.195,12
613,1.0,-0.194,11
614,1.0,-0.193,5
615,1.0,-0.192,9
616,1.0,-0.191,10
617,1.0,-0.19,8
618,1.0,-0.189,12
619,1.0,-0.188,15
620,1.0,-0.187,8
621,1.0,-0.186,8
622,1.0,-0.185,15
623,1.0,-0.184,14
624,1.0,-0.183,12
625,1.0,-0.182,12
626,1.0,-0.181,16
627,1.0,-0.18,12
628,1.0,-0.179,15
629,1.0,-0.178,19
630,1.0,-0.177,12
631,1.0,-0.176,10
632,1.0,-0.175,12
633,1.0,-0.174,13
634,1.0,-0.173,14
635,1.0,-0.172,8
636,1.0,-0.171,18
637,1.0,-0.17,20
638,1.0,-0.169,6
639,1.0,-0.168,13
640,1.0,-0.167,14
641,1.0,-0.166,16
642,1.0,-0.165,15
643,1.0,-0.164,13
644,1.0,-0.163,13
645,1.0,-0.162,15
646,1.0,-0.161,16
647,1.0,-0.16,13
648,1.0,-0.159,11
649,1.0,-0.158,24
650,1.0,-0.157,16
651,1.0,-0.156,24
652,1.0,-0.155,10
653,1.0,-0.154,16
654,1.0,-0.153,16
655,1.0,-0.152,11
656,1.0,-0.151,12
657,1.0,-0.15,24
658,1.0,-0.149,16
659,1.0,-0.148,11
660,1.0,-0.147,19
661,1.0,-0.146,15
662,1.0,-0.145,18
663,1.0,-0.144,26
664,1.0,-0.143,19
665,1.0,-0.142,20
666,1.0,-0.141,16
667,1.0,-0.14,16
668,1.0,-0.139,9
669,1.0,-0.138,15
670,1.0,-0.137,18
671,1.0,-0.136,29
672,1.0,-0.135,23
673,1.0,-0.134,19
674,1.0,-0.133,17
675,1.0,-0.132,27
676,1.0,-0.131,14
677,1.0,-0.13,17
678,1.0,-0.129,13
679,1.0,-0.128,18
680,1.0,-0.127,25
681,1.0,-0.126,20
682,1.0,-0.125,31
683,1.0,-0.124,23
684,1.0,-0.123,26
685,1.0,-0.122,33
686,1.0,-0.121,29
687,1.0,-0.12,23
688,1.0,-0.119,29
689,1.0,-0.118,27
690,1.0,-0.117,35
691,1.0,-0.116,30
692,1.0,-0.115,26
693,1.0,-0.114,29
694,1.0,-0.113,30
695,1.0,-0.112,32
696,1.0,-0.111,30
697,1.0,-0.11,29
698,1.0,-0.109,26
699,1.0,-0.108,16
700,1.0,-0.107,28
701,1.0,-0.106,28
702,1.0,-0.105,24
703,1.0,-0.104,30
704,1.0,-0.103,27
705,1.0,-0.102,28
706,1.0,-0.101,37
707,1.0,-0.1,40
708,1.0,-0.099,38
709,1.0,-0.098,31
710,1.0,-0.097,36
711,1.0,-0.096,32
712,1.0,-0.095,35
713,1.0,-0.094,37
714,1.0,-0.093,36
715,1.0,-0.092,41
716,1.0,-0.091,36
717,1.0,-0.09,35
718,1.0,-0.089,40
719,1.0,-0.088,38
720,1.0,-0.087,51
721,1.0,-0.086,40
722,1.0,-0.085,49
723,1.0,-0.084,46
724,1.0,-0.083,52
725,1.0,-0.082,54
726,1.0,-0.081,47
727,1.0,-0.08,51
728,1.0,-0.079,59
729,1.0,-0.078,50
730,1.0,-0.077,55
731,1.0,-0.076,61
732,1.0,-0.075,53
733,1.0,-0.074,62
734,1.0,-0.073,55
735,1.0,-0.072,55
736,1.0,-0.071,58
737,1.0,-0.07,62
738,1.0,-0.069,75
739,1.0,-0.068,68
740,1.0,-0.067,50
741,1.0,-0.066,62
742,1.0,-0.065,59
743,1.0,-0.064,65
744,1.0,-0.063,78
745,1.0,-0.062,79
746,1.0,-0.061,69
747,1.0,-0.06,80
748,1.0,-0.059,89
749,1.0,-0.058,74
750,1.0,-0.057,88
751,1.0,-0.056,83
752,1.0,-0.055,88
753,1.0,-0.054,102
754,1.0,-0.053,104
755,1.0,-0.052,107
756,1.0,-0.051,90
757,1.0,-0.05,99
758,1.0,-0.049,113
759,1.0,-0.048,113
760,1.0,-0.047,123
761,1.0,-0.046,112
762,1.0,-0.045,126
763,1.0,-0.044,133
764,1.0,-0.043,139
765,1.0,-0.042,148
766,1.0,-0.041,142
767,1.0,-0.04,150
768,1.0,-0.039,169
769,1.0,-0.038,178
770,1.0,-0.037,163
771,1.0,-0.036,167
772,1.0,-0.035,201
773,1.0,-0.034,207
774,1.0,-0.033,216
775,1.0,-0.032,208
776,1.0,-0.031,217
777,1.0,-0.03,233
778,1.0,-0.029,249
779,1.0,-0.028,267
780,1.0,-0.027,292
781,1.0,-0.026,294
782,1.0,-0.025,296
783,1.0,-0.024,304
784,1.0,-0.023,342
785,1.0,-0.022,347
786,1.0,-0.021,387
787,1.0,-0.02,401
788,1.0,-0.019,448
789,1.0,-0.018,455
790,1.0,-0.017,445
791,1.0,-0.016,461
792,1.0,-0.015,561
793,1.0,-0.014,586
794,1.0,-0.013,586
795,1.0,-0.012,704
796,1.0,-0.011,676
797,1.0,-0.01,762
798,1.0,-0.009,796
799,1.0,-0.008,853
800,1.0,-0.007,901
801,1.0,-0.006,1000
802,1.0,-0.005,1102
803,1.0,-0.004,1156
804,1.0,-0.003,1228
805,1.0,-0.002,1258
806,1.0,-0.001,1289
807,1.0,0.0,1354
808,1.0,0.001,1416
809,1.0,0.002,1246
810,1.0,0.003,1275
811,1.0,0.004,1242
812,1.0,0.005,1208
813,1.0,0.006,1120
814,1.0,0.007,1083
815,1.0,0.008,1024
816,1.0,0.009,933
817,1.0,0.01,896
818,1.0,0.011,808
819,1.0,0.012,788
820,1.0,0.013,721
821,1.0,0.014,656
822,1.0,0.015,618
823,1.0,0.016,603
824,1.0,0.017,562
825,1.0,0.018,523
826,1.0,0.019,477
827,1.0,0.02,466
828,1.0,0.021,455
829,1.0,0.022,423
830,1.0,0.023,399
831,1.0,0.024,400
832,1.0,0.025,304
833,1.0,0.026,346
834,1.0,0.027,308
835,1.0,0.028,295
836,1.0,0.029,260
837,1.0,0.03,257
838,1.0,0.031,247
839,1.0,0.032,196
840,1.0,0.033,241
841,1.0,0.034,216
842,1.0,0.035,218
843,1.0,0.036,210
844,1.0,0.037,192
845,1.0,0.038,193
846,1.0,0.039,185
847,1.0,0.04,153
848,1.0,0.041,158
849,1.0,0.042,155
850,1.0,0.043,148
851,1.0,0.044,148
852,1.0,0.045,145
853,1.0,0.046,142
854,1.0,0.047,115
855,1.0,0.048,130
856,1.0,0.049,123
857,1.0,0.05,99
858,1.0,0.051,101
859,1.0,0.052,96
860,1.0,0.053,111
861,1.0,0.054,107
862,1.0,0.055,84
863,1.0,0.056,104
864,1.0,0.057,104
865,1.0,0.058,103
866,1.0,0.059,104
867,1.0,0.06,74
868,1.0,0.061,83
869,1.0,0.062,86
870,1.0,0.063,81
871,1.0,0.064,108
872,1.0,0.065,72
873,1.0,0.066,82
874,1.0,0.067,78
875,1.0,0.068,63
876,1.0,0.069,72
877,1.0,0.07,74
878,1.0,0.071,56
879,1.0,0.072,60
880,1.0,0.073,62
881,1.0,0.074,65
882,1.0,0.075,60
883,1.0,0.076,52
884,1.0,0.077,44
885,1.0,0.078,40
886,1.0,0.079,51
887,1.0,0.08,49
888,1.0,0.081,55
889,1.0,0.082,54
890,1.0,0.083,40
891,1.0,0.084,55
892,1.0,0.085,41
893,1.0,0.086,49
894,1.0,0.087,55
895,1.0,0.088,37
896,1.0,0.089,36
897,1.0,0.09,32
898,1.0,0.091,41
899,1.0,0.092,39
900,1.0,0.093,39
901,1.0,0.094,28
902,1.0,0.095,36
903,1.0,0.096,32
904,1.0,0.097,25
905,1.0,0.098,31
906,1.0,0.099,39
907,1.0,0.1,41
908,1.0,0.101,39
909,1.0,0.102,33
910,1.0,0.103,26
911,1.0,0.104,22
912,1.0,0.105,30
913,1.0,0.106,30
914,1.0,0.107,28
915,1.0,0.108,32
916,1.0,0.109,33
917,1.0,0.11,35
918,1.0,0.111,34
919,1.0,0.112,26
920,1.0,0.113,14
921,1.0,0.114,24
922,1.0,0.115,23
923,1.0,0.116,25
924,1.0,0.117,23
925,1.0,0.118,22
926,1.0,0.119,20
927,1.0,0.12,25
928,1.0,0.121,32
929,1.0,0.122,15
930,1.0,0.123,18
931,1.0,0.124,21
932,1.0,0.125,29
933,1.0,0.126,22
934,1.0,0.127,27
935,1.0,0.128,16
936,1.0,0.129,22
937,1.0,0.13,17
938,1.0,0.131,17
939,1.0,0.132,23
940,1.0,0.133,25
941,1.0,0.134,18
942,1.0,0.135,14
943,1.0,0.136,10
944,1.0,0.137,14
945,1.0,0.138,17
946,1.0,0.139,20
947,1.0,0.14,23
948,1.0,0.141,15
949,1.0,0.142,16
950,1.0,0.143,20
951,1.0,0.144,10
952,1.0,0.145,22
953,1.0,0.146,19
954,1.0,0.147,17
955,1.0,0.148,11
956,1.0,0.149,14
957,1.0,0.15,14
958,1.0,0.151,11
959,1.0,0.152,14
960,1.0,0.153,13
961,1.0,0.154,14
962,1.0,0.155,14
963,1.0,0.156,20
964,1.0,0.157,9
965,1.0,0.158,13
966,1.0,0.159,11
967,1.0,0.16,7
968,1.0,0.161,7
969,1.0,0.162,8
970,1.0,0.163,8
971,1.0,0.164,13
972,1.0,0.165,14
973,1.0,0.166,8
974,1.0,0.167,13
975,1.0,0.168,11
976,1.0,0.169,13
977,1.0,0.17,16
978,1.0,0.171,11
979,1.0,0.172,11
980,1.0,0.173,19
981,1.0,0.174,7
982,1.0,0.175,11
983,1.0,0.176,14
984,1.0,0.177,17
985,1.0,0.178,6
986,1.0,0.179,8
987,1.0,0.18,7
988,1.0,0.181,13
989,1.0,0.182,9
990,1.0,0.183,7
991,1.0,0.184,9
992,1.0,0.185,4
993,1.0,0.186,13
994,1.0,0.187,8
995,1.0,0.188,9
996,1.0,0.189,7
997,1.0,0.19,6
998,1.0,0.191,12
999,1.0,0.192,9
1000,1.0,0.193,6
1001,1.0,0.194,14
1002,1.0,0.195,13
1003,1.0,0.196,8
1004,1.0,0.197,12
1005,1.0,0.198,6
1006,1.0,0.199,12
1007,1.0,0.2,10
